listing_id,date,actual_price,predicted_price,optimal_price,price_difference,price_change_pct,booking_probability,expected_revenue,actual_booked,actual_revenue
1064714,2024-12-11,58.16616114414988,58.68877252022301,500.0,441.8338388558501,759.606324647897,0.27984811428477624,49.993760551212766,False,0.0
1006980,2024-10-22,129.67570594352014,130.37527185879406,500.0,370.32429405647986,285.5772338866414,0.48802910933805044,145.61389687959843,True,129.67570594352014
1283706,2024-07-26,58.21276576833087,54.6208471433784,500.0,441.7872342316691,758.9181314453399,0.4725903222255404,79.33427098912773,False,0.0
1275332,2024-08-15,81.79544163383977,73.5668843837026,500.0,418.2045583661602,511.28100785648655,0.2928228677561067,62.235996284339535,False,0.0
537088,2024-12-11,119.35112706886856,135.12379699194912,500.0,380.64887293113145,318.93194666815975,0.3185613535491282,96.75902631568137,False,0.0
1291712,2024-10-25,52.27534381570293,45.07736185353676,460.0,407.7246561842971,779.955953272604,0.21993393548179424,30.669173107098086,False,0.0
1000094,2024-08-15,101.30717010581267,109.91012115626938,500.0,398.6928298941873,393.5484817883701,0.45385508386083506,123.79270841865527,False,0.0
1073777,2024-10-21,47.32125517873689,58.673221529119445,500.0,452.6787448212631,956.6076451511108,0.45728352270921774,81.67371797230813,False,0.0
1047364,2024-09-05,115.42085012347324,148.50806337054618,500.0,384.57914987652674,333.1972944793919,0.3866181457274095,122.90771541398107,False,0.0
137107,2024-10-23,130.591980084889,115.92933277219298,500.0,369.408019915111,282.8719035234659,0.3687014308206711,103.5151042612925,False,0.0
1875501,2024-10-15,503.486619883389,585.0114292803394,500.0,-3.4866198833889825,-0.6924950427076906,0.32633779794337686,170.8552939712148,False,0.0
98914,2024-08-16,139.57696489333074,131.74331814458682,500.0,360.42303510666926,258.2252991259097,0.4448977251998029,133.4413360429384,True,139.57696489333074
1820886,2024-10-19,72.34116793899892,69.29680266706798,500.0,427.6588320610011,591.1693773338312,0.32363834819744897,65.88260556937149,False,0.0
1120341,2024-07-01,132.68272360687197,125.96720792745462,500.0,367.31727639312805,276.8388124752843,0.35328690552825104,103.5879700417809,False,0.0
67225,2024-12-12,76.89696127058603,90.70701387383083,500.0,423.103038729414,550.220752209692,0.3001730965763528,73.22842397825532,False,0.0
1275332,2024-12-30,47.99542586474628,49.95732528420179,500.0,452.00457413525373,941.7659412149549,0.2513295153733791,38.8264283716048,False,0.0
786859,2024-11-18,35.25088541804652,37.48902194809016,390.0,354.74911458195345,1006.3551890255255,0.34986955899494354,40.57593462483841,True,35.25088541804652
281601,2024-10-08,62.37957728674011,55.65449865876787,500.0,437.62042271325987,701.5443863969305,0.09988461564760094,17.04862804391355,False,0.0
1701321,2024-12-14,146.35886026298223,165.80415049540082,500.0,353.64113973701774,241.62605468612162,0.30257863253309614,101.19133472972351,True,146.35886026298223
816921,2024-09-02,86.12974327015948,85.29627639108276,500.0,413.87025672984055,480.5195522662496,0.3275077351387734,76.8753683939455,False,0.0
540104,2024-09-05,213.99686069865265,223.9895623005807,500.0,286.00313930134735,133.6482873475854,0.3785660515627912,143.68425399209002,True,213.99686069865265
668405,2024-12-02,122.164889002716,100.80690586538232,500.0,377.835110997284,309.28289959718614,0.30327265972308587,78.78714810810725,False,0.0
995311,2024-11-10,68.586802336,74.23124849201058,500.0,431.413197664,629.003223609331,0.39724733676181684,84.96586842284678,False,0.0
478248,2024-10-06,89.26954354467232,71.95223226391354,500.0,410.73045645532767,460.1014412600751,0.34950558285586913,73.11976728871481,False,0.0
1242969,2024-12-31,194.3189746106844,175.8149084931824,500.0,305.6810253893156,157.30889173419308,0.3060285312893463,105.03619984144945,False,0.0
668536,2024-07-06,211.9481026392781,201.8657597937922,500.0,288.0518973607219,135.90680632370064,0.23383233101307077,85.10309527525497,False,0.0
442162,2024-10-14,121.32136190497854,117.08636540607507,500.0,378.6786380950215,312.128575008588,0.3870644168481283,109.24721289172075,False,0.0
1160557,2024-10-18,45.5180646200578,47.125672717556036,490.0,444.48193537994223,976.495681637744,0.35559139194800765,51.84047491036188,False,0.0
735328,2024-08-16,106.27792667849228,104.18109965823442,500.0,393.7220733215077,370.4645787008811,0.5192978976038507,137.47289863813083,False,0.0
602090,2024-10-03,138.8274548205296,167.96582081897452,500.0,361.1725451794704,260.15930757095515,0.3759456854807752,126.4579261503313,False,0.0
