model,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
Linear Regression,124.56087714512297,129.4419119656336,69.25876569549413,70.2475734878728,0.29102885422720526,0.3173621443546355
Random Forest,15.038778326757242,32.4901673442893,9.10029713260545,17.498515120926864,0.9896654788043803,0.9569924773795134
XGBoost,12.199722911442935,33.69593419171887,8.735950835683852,17.686781174274117,0.9931991189610736,0.9537410753689155
